symbol,entry_time,exit_time,entry_price,exit_price,direction,quantity,entry_prob,expected_mfe_atr,expected_mae_atr,risk_multiplier,directional_bias,session_quality,volatility_regime,trend_regime,market_state,pnl,pnl_atr,actual_mfe,actual_mae,actual_mfe_atr,actual_mae_atr,holding_minutes,exit_reason
TATAELXSI,2025-10-15 14:15:00+05:30,2025-10-15 14:24:00+05:30,5356.0,5355.5,-1,1,0.8536988777911427,2.743713274948957,0.4569401594022641,0.7502775965638565,-1,0.4,2,1,1,0.5,0.05747361318815417,3.0,-2.0,0.344841679128925,-0.2298944527526167,9,Absorption failure (stalled)
TITAN,2025-10-15 14:16:00+05:30,2025-10-15 14:26:00+05:30,3535.0,3535.1,-1,1,0.6928912554888029,3.2723028463486257,0.8051271309283394,0.7092611210134215,-1,0.4,0,0,0,-0.09999999999990905,-0.03487091162652072,0.0,-0.599999999999909,0.0,-0.2092254697592829,10,Absorption failure (stalled)
TVSMOTOR,2025-10-15 14:25:00+05:30,2025-10-15 14:31:00+05:30,3564.0,3565.3,-1,1,0.7637374546666614,1.5600992659867636,0.459177042840279,0.6987873781717588,-1,0.7,2,1,1,-1.300000000000182,-0.18215474069167306,0.5,-1.300000000000182,0.07005951565063369,-0.18215474069167306,6,Absorption failure (stalled)
LT,2025-10-15 14:15:00+05:30,2025-10-15 14:31:00+05:30,3840.0,3831.8,-1,1,0.882879210080636,2.9437274587909816,0.6281772601334655,0.7703407608170069,-1,0.4,0,2,1,8.199999999999818,1.8966472373730114,6.699999999999818,0.0,1.5496995719998918,0.0,15,Session stopped (bad day)
TITAN,2025-10-15 14:27:00+05:30,2025-10-15 14:31:00+05:30,3535.0,3535.9,-1,1,0.7624633895525799,4.0278130168886594,0.8168031210479358,0.6692669466410397,-1,0.4,0,0,0,-0.900000000000091,-0.40334496601025727,0.0,-1.699999999999818,0.0,-0.7618738246858829,3,Session stopped (bad day)
TATAELXSI,2025-10-15 14:25:00+05:30,2025-10-15 14:31:00+05:30,5355.5,5354.5,-1,1,0.8932252979649665,2.7714716504749006,0.4775628175838368,0.782557922713866,-1,0.7,1,1,1,1.0,0.13144452030157305,4.0,-2.0,0.5257780812062922,-0.2628890406031461,5,Session stopped (bad day)
LT,2025-10-16 09:15:00+05:30,2025-10-16 09:28:00+05:30,3843.4,3843.2,-1,1,0.8073409301110724,2.2198520429215076,0.5070995077685998,0.745658272126615,-1,0.4,2,1,2,0.20000000000027285,0.02086481300812012,7.5,-4.299999999999727,0.782430487803437,-0.44859347967394214,13,Absorption failure (stalled)
TATAELXSI,2025-10-16 09:19:00+05:30,2025-10-16 09:34:00+05:30,5375.5,5400.0,-1,1,0.7176609215026004,1.9005435603531082,0.4570546609666584,0.6969302552318675,-1,0.4,2,0,2,-24.5,-1.6177839489633872,9.5,-24.5,0.627303980210293,-1.6177839489633872,15,Max loss hit
TATAELXSI,2025-10-16 09:42:00+05:30,2025-10-16 09:49:00+05:30,5384.0,5381.0,-1,1,0.682224000017016,1.2841166890704938,0.28584680063542856,0.6122437830759029,-1,0.4,2,1,2,3.0,0.11707388981120817,3.0,-2.5,0.11707388981120817,-0.09756157484267347,7,Absorption failure (stalled)
RELIANCE,2025-10-16 09:43:00+05:30,2025-10-16 09:50:00+05:30,1380.0,1380.5,-1,1,0.692505025419709,1.6177065925900025,0.40601213143029496,0.6977395629778639,-1,0.7,2,1,1,-0.5,-0.22060265931278902,0.0,-0.7999999999999545,0.0,-0.35296425490044236,6,Session stopped (bad day)
LT,2025-10-16 09:30:00+05:30,2025-10-16 09:50:00+05:30,3836.4,3837.6,-1,1,0.6466892301840873,1.5857131184065154,0.4196977750773274,0.645007808084917,-1,0.4,2,1,2,-1.199999999999818,-0.12122455936185622,3.599999999999909,-6.799999999999727,0.3636736780856146,-0.6869391697172619,19,Session stopped (bad day)
SIEMENS,2025-10-16 09:46:00+05:30,2025-10-16 09:50:00+05:30,3143.3,3140.5,1,1,0.6967486570978247,1.7781779690963093,0.42260648286479713,0.748324535808359,1,0.7,2,1,1,-2.800000000000182,-0.2886171084574031,2.399999999999636,-0.40000000000009095,0.2473860929634348,-0.04123101549392143,3,Session stopped (bad day)
LT,2025-10-17 09:15:00+05:30,2025-10-17 09:30:00+05:30,3866.5,3861.6,-1,1,0.864373515802895,2.8323131832971287,0.5309312632123386,0.7493486913343941,-1,0.4,2,0,1,4.900000000000091,0.7331260391870038,14.0,-0.3000000000001819,2.0946458262485432,-0.044885267705353143,15,Profit floor hit
SIEMENS,2025-10-17 09:15:00+05:30,2025-10-17 09:46:00+05:30,3119.1,3119.6,1,1,0.720265565880911,2.032750485924374,0.48226907418192483,0.7006114647715921,1,0.4,2,0,2,0.5,0.07485630257617751,2.400000000000091,-8.599999999999909,0.35931025236566566,-1.2875284043102395,31,Time failure (hypothesis expired)
LT,2025-10-17 09:31:00+05:30,2025-10-17 09:55:00+05:30,3862.7,3854.7,-1,1,0.633888560805117,1.682602956887358,0.3890110778416776,0.6978044765720172,-1,0.4,2,0,2,8.0,0.8899510716555874,16.299999999999727,0.0,1.813275308498229,0.0,24,Profit floor hit
RELIANCE,2025-10-17 09:35:00+05:30,2025-10-17 09:57:00+05:30,1405.9,1403.8,-1,1,0.7082961612852834,1.910280221672082,0.4854863930567398,0.7191307036362485,-1,0.7,2,2,1,2.1000000000001364,0.5815041439922328,6.300000000000182,-2.599999999999909,1.7445124319766354,-0.7199575116093591,22,Profit floor hit
LT,2025-10-17 09:56:00+05:30,2025-10-17 10:01:00+05:30,3852.2,3853.9,-1,1,0.6186397055106466,1.4179265207958347,0.3712243885951685,0.6464876668297896,-1,0.4,2,0,1,-1.7000000000002728,-0.1892684322707398,0.0,-2.700000000000273,0.0,-0.3006028041946865,5,Absorption failure (stalled)
TVSMOTOR,2025-10-17 09:41:00+05:30,2025-10-17 10:07:00+05:30,3599.0,3611.5,-1,1,0.7544952385925678,1.7647790899806788,0.4539797017611653,0.6943383235621456,-1,0.7,2,1,1,-12.5,-1.5490765110289522,6.900000000000091,-12.5,0.8550902340879928,-1.5490765110289522,26,Max loss hit
LT,2025-10-17 10:03:00+05:30,2025-10-17 10:07:00+05:30,3856.8,3859.4,-1,1,0.6625741946419155,1.6268071874836116,0.37233956551692104,0.7019459418934508,-1,0.7,2,0,1,-2.599999999999909,-0.32971652436849064,0.7000000000002728,-3.199999999999818,0.08876983348386211,-0.4058049530689027,3,Session stopped (bad day)
